DIA_SEMANA_t-7,LABORAL_t-7,FIN_DE_SEMANA_t-7,FESTIVO_t-7,PORCENTAJE.USO_t-7,NUMERO.CONEXIONES_t-7,USAGE.KB_t-7,DIA_SEMANA_t-6,LABORAL_t-6,FIN_DE_SEMANA_t-6,FESTIVO_t-6,PORCENTAJE.USO_t-6,NUMERO.CONEXIONES_t-6,USAGE.KB_t-6,DIA_SEMANA_t-5,LABORAL_t-5,FIN_DE_SEMANA_t-5,FESTIVO_t-5,PORCENTAJE.USO_t-5,NUMERO.CONEXIONES_t-5,USAGE.KB_t-5,DIA_SEMANA_t-4,LABORAL_t-4,FIN_DE_SEMANA_t-4,FESTIVO_t-4,PORCENTAJE.USO_t-4,NUMERO.CONEXIONES_t-4,USAGE.KB_t-4,DIA_SEMANA_t-3,LABORAL_t-3,FIN_DE_SEMANA_t-3,FESTIVO_t-3,PORCENTAJE.USO_t-3,NUMERO.CONEXIONES_t-3,USAGE.KB_t-3,DIA_SEMANA_t-2,LABORAL_t-2,FIN_DE_SEMANA_t-2,FESTIVO_t-2,PORCENTAJE.USO_t-2,NUMERO.CONEXIONES_t-2,USAGE.KB_t-2,DIA_SEMANA_t-1,LABORAL_t-1,FIN_DE_SEMANA_t-1,FESTIVO_t-1,PORCENTAJE.USO_t-1,NUMERO.CONEXIONES_t-1,USAGE.KB_t-1,DIA_SEMANA_t0,LABORAL_t0,FIN_DE_SEMANA_t0,FESTIVO_t0,PORCENTAJE.USO_t0,NUMERO.CONEXIONES_t0,target
0,0,0,1,0.5375468944892052,-1.0050251256281406,0.6792792844554744,1,1,0,0,0.0051048173101465,-0.5025125628140703,0.0958535730244224,2,1,0,0,-0.106815894282123,-0.2613065326633166,-0.0141038342985303,3,1,0,0,-0.1021926635106695,-0.542713567839196,-0.0111857996160757,4,1,0,0,-0.1191445096726656,0.0402010050251256,-0.0330438879454572,5,0,1,0,-0.1124022981309626,0.100502512562814,-0.0280914403717483,6,0,1,0,-0.1172181635178933,0.6030150753768844,-0.0310702824058596,0,0,0,1,-0.1168328942869388,0.0201005025125628,-0.0264216321914119
1,1,0,0,0.0051048173101465,-0.5025125628140703,0.0958535730244224,2,1,0,0,-0.106815894282123,-0.2613065326633166,-0.0141038342985303,3,1,0,0,-0.1021926635106695,-0.542713567839196,-0.0111857996160757,4,1,0,0,-0.1191445096726656,0.0402010050251256,-0.0330438879454572,5,0,1,0,-0.1124022981309626,0.100502512562814,-0.0280914403717483,6,0,1,0,-0.1172181635178933,0.6030150753768844,-0.0310702824058596,0,0,0,1,-0.1168328942869388,0.0201005025125628,-0.0264216321914119,1,1,0,0,-0.1197224135190972,-0.0201005025125628,-0.0332899901403512
2,1,0,0,-0.106815894282123,-0.2613065326633166,-0.0141038342985303,3,1,0,0,-0.1021926635106695,-0.542713567839196,-0.0111857996160757,4,1,0,0,-0.1191445096726656,0.0402010050251256,-0.0330438879454572,5,0,1,0,-0.1124022981309626,0.100502512562814,-0.0280914403717483,6,0,1,0,-0.1172181635178933,0.6030150753768844,-0.0310702824058596,0,0,0,1,-0.1168328942869388,0.0201005025125628,-0.0264216321914119,1,1,0,0,-0.1197224135190972,-0.0201005025125628,-0.0332899901403512,2,1,0,0,-0.1199150481345745,-0.0804020100502512,-0.0338011070528986
3,1,0,0,-0.1021926635106695,-0.542713567839196,-0.0111857996160757,4,1,0,0,-0.1191445096726656,0.0402010050251256,-0.0330438879454572,5,0,1,0,-0.1124022981309626,0.100502512562814,-0.0280914403717483,6,0,1,0,-0.1172181635178933,0.6030150753768844,-0.0310702824058596,0,0,0,1,-0.1168328942869388,0.0201005025125628,-0.0264216321914119,1,1,0,0,-0.1197224135190972,-0.0201005025125628,-0.0332899901403512,2,1,0,0,-0.1199150481345745,-0.0804020100502512,-0.0338011070528986,3,1,0,0,-0.1183739712107567,0.6432160804020101,-0.0321473386070544
4,1,0,0,-0.1191445096726656,0.0402010050251256,-0.0330438879454572,5,0,1,0,-0.1124022981309626,0.100502512562814,-0.0280914403717483,6,0,1,0,-0.1172181635178933,0.6030150753768844,-0.0310702824058596,0,0,0,1,-0.1168328942869388,0.0201005025125628,-0.0264216321914119,1,1,0,0,-0.1197224135190972,-0.0201005025125628,-0.0332899901403512,2,1,0,0,-0.1199150481345745,-0.0804020100502512,-0.0338011070528986,3,1,0,0,-0.1183739712107567,0.6432160804020101,-0.0321473386070544,4,1,0,0,-0.1199150481345745,0.3618090452261306,-0.0339461828603945
5,0,1,0,-0.1124022981309626,0.100502512562814,-0.0280914403717483,6,0,1,0,-0.1172181635178933,0.6030150753768844,-0.0310702824058596,0,0,0,1,-0.1168328942869388,0.0201005025125628,-0.0264216321914119,1,1,0,0,-0.1197224135190972,-0.0201005025125628,-0.0332899901403512,2,1,0,0,-0.1199150481345745,-0.0804020100502512,-0.0338011070528986,3,1,0,0,-0.1183739712107567,0.6432160804020101,-0.0321473386070544,4,1,0,0,-0.1199150481345745,0.3618090452261306,-0.0339461828603945,5,0,1,0,-0.1150991827476438,0.5025125628140703,-0.0294153169649039
6,0,1,0,-0.1172181635178933,0.6030150753768844,-0.0310702824058596,0,0,0,1,-0.1168328942869388,0.0201005025125628,-0.0264216321914119,1,1,0,0,-0.1197224135190972,-0.0201005025125628,-0.0332899901403512,2,1,0,0,-0.1199150481345745,-0.0804020100502512,-0.0338011070528986,3,1,0,0,-0.1183739712107567,0.6432160804020101,-0.0321473386070544,4,1,0,0,-0.1199150481345745,0.3618090452261306,-0.0339461828603945,5,0,1,0,-0.1150991827476438,0.5025125628140703,-0.0294153169649039,6,0,1,0,0.5044137406271219,1.407035175879397,0.5789634333554419
0,0,0,1,-0.1168328942869388,0.0201005025125628,-0.0264216321914119,1,1,0,0,-0.1197224135190972,-0.0201005025125628,-0.0332899901403512,2,1,0,0,-0.1199150481345745,-0.0804020100502512,-0.0338011070528986,3,1,0,0,-0.1183739712107567,0.6432160804020101,-0.0321473386070544,4,1,0,0,-0.1199150481345745,0.3618090452261306,-0.0339461828603945,5,0,1,0,-0.1150991827476438,0.5025125628140703,-0.0294153169649039,6,0,1,0,0.5044137406271219,1.407035175879397,0.5789634333554419,0,1,0,0,1.37396639489133,-0.0603015075376884,1.2490389027002176
1,1,0,0,-0.1197224135190972,-0.0201005025125628,-0.0332899901403512,2,1,0,0,-0.1199150481345745,-0.0804020100502512,-0.0338011070528986,3,1,0,0,-0.1183739712107567,0.6432160804020101,-0.0321473386070544,4,1,0,0,-0.1199150481345745,0.3618090452261306,-0.0339461828603945,5,0,1,0,-0.1150991827476438,0.5025125628140703,-0.0294153169649039,6,0,1,0,0.5044137406271219,1.407035175879397,0.5789634333554419,0,1,0,0,1.37396639489133,-0.0603015075376884,1.2490389027002176,1,1,0,0,1.851700241274856,0.4221105527638191,2.060943689399878
2,1,0,0,-0.1199150481345745,-0.0804020100502512,-0.0338011070528986,3,1,0,0,-0.1183739712107567,0.6432160804020101,-0.0321473386070544,4,1,0,0,-0.1199150481345745,0.3618090452261306,-0.0339461828603945,5,0,1,0,-0.1150991827476438,0.5025125628140703,-0.0294153169649039,6,0,1,0,0.5044137406271219,1.407035175879397,0.5789634333554419,0,1,0,0,1.37396639489133,-0.0603015075376884,1.2490389027002176,1,1,0,0,1.851700241274856,0.4221105527638191,2.060943689399878,2,1,0,0,0.498634702162805,-0.5628140703517588,0.7344576469015243
