FECHA.CONEXION,AREA,NOMBRE.ZONA,COMUNA,MODEL,es_festivo,tipo_dia,dia_semana,LATITUD,LONGITUD,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO
2024-01-01,RURAL,061_La Leonera,99,MR76,True,Festivo,Lunes,345.545,-7.663.592,46,16576084,"1937,54399"
2024-01-02,RURAL,061_La Leonera,99,MR76,False,Laboral,Martes,345.545,-7.663.592,58,25044563,"3648,24060,5"
2024-01-03,RURAL,061_La Leonera,99,MR76,False,Laboral,Miércoles,345.545,-7.663.592,56,25336629,"2107,24847,4"
2024-01-04,RURAL,061_La Leonera,99,MR76,False,Laboral,Jueves,345.545,-7.663.592,48,32513143,"2290,35016,8"
2024-01-05,RURAL,061_La Leonera,99,MR76,False,Laboral,Viernes,345.545,-7.663.592,57,26177328,"945,65861,7"
2024-01-06,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Sábado,345.545,-7.663.592,105,31260477,"2361,52171,9"
2024-01-07,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Domingo,345.545,-7.663.592,108,19446340,"1462,3747,6"
2024-01-08,RURAL,061_La Leonera,99,MR76,True,Festivo,Lunes,345.545,-7.663.592,102,15198630,"1334,62360,7"
2024-01-09,RURAL,061_La Leonera,99,MR76,False,Laboral,Martes,345.545,-7.663.592,51,16070685,19185262
2024-01-10,RURAL,061_La Leonera,99,MR76,False,Laboral,Miércoles,345.545,-7.663.592,60,18743907,"2465,32637,3"
2024-01-11,RURAL,061_La Leonera,99,MR76,False,Laboral,Jueves,345.545,-7.663.592,65,23699562,"1300,85338,7"
2024-01-12,RURAL,061_La Leonera,99,MR76,False,Laboral,Viernes,345.545,-7.663.592,76,15002295,"4164,12971,4"
2024-01-13,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Sábado,345.545,-7.663.592,69,13121239,"2340,33228,2"
2024-01-14,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Domingo,345.545,-7.663.592,57,22937065,"1782,34273,5"
2024-01-15,RURAL,061_La Leonera,99,MR76,False,Laboral,Lunes,345.545,-7.663.592,77,25947287,"3473,44977,5"
2024-01-16,RURAL,061_La Leonera,99,MR76,False,Laboral,Martes,345.545,-7.663.592,57,25844895,"1584,86136,9"
2024-01-17,RURAL,061_La Leonera,99,MR76,False,Laboral,Miércoles,345.545,-7.663.592,64,25870910,"28355038,6"
2024-01-18,RURAL,061_La Leonera,99,MR76,False,Laboral,Jueves,345.545,-7.663.592,56,13765203,"1687,84006,2"
2024-01-19,RURAL,061_La Leonera,99,MR76,False,Laboral,Viernes,345.545,-7.663.592,60,13234282,"404,85535"
2024-01-20,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Sábado,345.545,-7.663.592,53,5036785,"117,32442,8"
2024-01-21,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Domingo,345.545,-7.663.592,74,17158700,2.7345.72
2024-01-22,RURAL,061_La Leonera,99,MR76,False,Laboral,Lunes,345.545,-7.663.592,54,14196610,"87,47556"
2024-01-23,RURAL,061_La Leonera,99,MR76,False,Laboral,Martes,345.545,-7.663.592,83,19701248,"100,12824,2"
2024-01-24,RURAL,061_La Leonera,99,MR76,False,Laboral,Miércoles,345.545,-7.663.592,67,14647591,"48,92742,2"
2024-01-25,RURAL,061_La Leonera,99,MR76,False,Laboral,Jueves,345.545,-7.663.592,61,26446716,"179,17456,5"
2024-01-26,RURAL,061_La Leonera,99,MR76,False,Laboral,Viernes,345.545,-7.663.592,49,9839230,"180,75852,9"
2024-01-27,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Sábado,345.545,-7.663.592,71,560001,"19,8957,6"
2024-01-28,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Domingo,345.545,-7.663.592,69,571648,"2673,1149,5"
2024-01-29,RURAL,061_La Leonera,99,MR76,False,Laboral,Lunes,345.545,-7.663.592,49,11917127,"3176,92898,6"
2024-01-30,RURAL,061_La Leonera,99,MR76,False,Laboral,Martes,345.545,-7.663.592,56,19321684,"2341,53377,1"
2024-01-31,RURAL,061_La Leonera,99,MR76,False,Laboral,Miércoles,345.545,-7.663.592,47,17090000,33.7836.05
2024-02-01,RURAL,061_La Leonera,99,MR76,False,Laboral,Jueves,345.545,-7.663.592,72,13586949,"2396,13075,1"
2024-02-02,RURAL,061_La Leonera,99,MR76,False,Laboral,Viernes,345.545,-7.663.592,50,29000068,"2852,14383"
2024-02-03,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Sábado,345.545,-7.663.592,74,12340515,"502,46446,2"
2024-02-04,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Domingo,345.545,-7.663.592,58,14074617,"211,35959,3"
2024-02-05,RURAL,061_La Leonera,99,MR76,False,Laboral,Lunes,345.545,-7.663.592,61,10564506,"276,25538,2"
2024-02-06,RURAL,061_La Leonera,99,MR76,False,Laboral,Martes,345.545,-7.663.592,76,11436022,"363,26309"
2024-02-07,RURAL,061_La Leonera,99,MR76,False,Laboral,Miércoles,345.545,-7.663.592,57,16113603,"394,96410,2"
2024-02-08,RURAL,061_La Leonera,99,MR76,False,Laboral,Jueves,345.545,-7.663.592,57,20560138,"206,66271,4"
2024-02-09,RURAL,061_La Leonera,99,MR76,False,Laboral,Viernes,345.545,-7.663.592,72,12659857,"762,44946,8"
2024-02-10,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Sábado,345.545,-7.663.592,72,13381890,"235,68533,9"
2024-02-11,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Domingo,345.545,-7.663.592,77,13291942,"1123,95890,9"
2024-02-12,RURAL,061_La Leonera,99,MR76,False,Laboral,Lunes,345.545,-7.663.592,61,9120416,"335,37401,9"
2024-02-13,RURAL,061_La Leonera,99,MR76,False,Laboral,Martes,345.545,-7.663.592,70,19235475,"1475,33508,9"
2024-02-14,RURAL,061_La Leonera,99,MR76,False,Laboral,Miércoles,345.545,-7.663.592,73,32185519,"3745,32918,1"
2024-02-15,RURAL,061_La Leonera,99,MR76,False,Laboral,Jueves,345.545,-7.663.592,59,14754925,"2544,15512,5"
2024-02-16,RURAL,061_La Leonera,99,MR76,False,Laboral,Viernes,345.545,-7.663.592,83,24328155,"4306,64972,8"
2024-02-17,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Sábado,345.545,-7.663.592,86,16702413,"2624,53800,4"
2024-02-18,RURAL,061_La Leonera,99,MR76,False,Fin de Semana,Domingo,345.545,-7.663.592,80,16914004,"787,94548,4"
2024-02-19,RURAL,061_La Leonera,99,MR76,False,Laboral,Lunes,345.545,-7.663.592,68,15161738,"353,14858,7"
2024-02-20,RURAL,061_La Leonera,99,MR76,False,Laboral,Martes,345.545,-7.663.592,69,17368592,"1474,16040,9"
