FECHA.CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE.USO,NUMERO.CONEXIONES,USAGE.KB
2024-01-01,0,0,0,1,777.8,57.0,2034605.0
2024-01-02,1,1,0,0,697.8,42.0,2267132.0
2024-01-03,2,1,0,0,1019.5,43.0,3714312.0
2024-01-04,3,1,0,0,521.7,32.0,2321396.0
2024-01-05,4,1,0,0,623.8,53.0,2398786.0
2024-01-06,5,0,1,0,3196.1,148.0,22038588.0
2024-01-07,6,0,1,0,1366.4,291.0,12024492.0
2024-01-08,0,0,0,1,709.7,93.0,2918985.0
2024-01-09,1,1,0,0,1095.3,38.0,2451551.0
2024-01-10,2,1,0,0,615.3,40.0,2260231.0
2024-01-11,3,1,0,0,814.6,51.0,2907682.0
2024-01-12,4,1,0,0,718.8,31.0,1511244.0
2024-01-13,5,0,1,0,596.7,65.0,1405939.0
2024-01-14,6,0,1,0,902.7,100.0,3419028.0
2024-01-15,0,1,0,0,78.0,54.0,239529.0
2024-01-16,1,1,0,0,41.6,37.0,139105.0
2024-01-17,2,1,0,0,524.4,48.0,1723236.0
2024-01-18,3,1,0,0,777.6,44.0,1879942.0
2024-01-19,4,1,0,0,414.7,40.0,923992.0
2024-01-20,5,0,1,0,720.4,89.0,1417267.0
2024-01-21,6,0,1,0,1.97,98.0,714100.0
2024-01-22,0,1,0,0,188.4,57.0,349844.0
2024-01-23,1,1,0,0,8.5,62.0,56953.0
2024-01-24,2,1,0,0,5.7,53.0,30065.0
2024-01-25,3,1,0,0,41.3,42.0,142895.0
2024-01-26,4,1,0,0,3.5,52.0,5669.0
2024-01-27,5,0,1,0,683.3,107.0,391456.0
2024-01-28,6,0,1,0,559.4,107.0,113295.0
2024-01-29,0,1,0,0,475.1,47.0,931809.0
2024-01-30,1,1,0,0,665.8,56.0,2249448.0
2024-01-31,2,1,0,0,1.12,60.0,281300.0
2024-02-01,3,1,0,0,612.6,58.0,1521216.0
2024-02-02,4,1,0,0,229.2,52.0,918545.0
2024-02-03,5,0,1,0,1528.8,75.0,2715129.0
2024-02-04,6,0,1,0,710.7,70.0,1621021.0
2024-02-05,0,1,0,0,946.2,55.0,1719204.0
2024-02-06,1,1,0,0,1773.4,72.0,3039489.0
2024-02-07,2,1,0,0,1378.1,58.0,3263071.0
2024-02-08,3,1,0,0,501.3,57.0,1591194.0
2024-02-09,4,1,0,0,564.2,72.0,1251086.0
2024-02-10,5,0,1,0,136.7,103.0,208594.0
2024-02-11,6,0,1,0,20.7,131.0,39214.0
2024-02-12,0,1,0,0,80.9,62.0,95400.0
2024-02-13,1,1,0,0,969.2,68.0,3740255.0
2024-02-14,2,1,0,0,346.0,64.0,1671231.0
2024-02-15,3,1,0,0,520.6,67.0,953437.0
2024-02-16,4,1,0,0,20.0,77.0,52369.0
2024-02-17,5,0,1,0,829.0,120.0,2155112.0
2024-02-18,6,0,1,0,1495.2,104.0,4739165.0
2024-02-19,0,1,0,0,406.3,67.0,1182019.0
2024-02-20,1,1,0,0,600.4,90.0,1387684.0
2024-02-21,2,1,0,0,4.9,74.0,7227.0
2024-02-22,3,1,0,0,46.1,83.0,33536.0
2024-02-23,4,1,0,0,20.2,82.0,32848.0
2024-02-24,5,0,1,0,7.1,96.0,18522.0
2024-02-25,6,0,1,0,10.1,110.0,16999.0
2024-02-26,0,1,0,0,85.2,68.0,12880.0
2024-02-27,1,1,0,0,182.9,67.0,4650.0
2024-02-28,2,1,0,0,530.1,63.0,5756.0
2024-02-29,3,1,0,0,850.0,85.0,6991.0
2024-03-01,4,1,0,0,384.9,80.0,4395.0
2024-03-02,5,0,1,0,2778.1,98.0,15980.0
2024-03-03,6,0,1,0,1996.9,118.0,16876.0
2024-03-04,0,1,0,0,928.6,68.0,7717.0
2024-03-05,1,1,0,0,8781.6,75.0,953231.0
2024-03-06,2,1,0,0,568.3,766.0,26506928.0
2024-03-07,3,1,0,0,522.4,760.0,23467439.0
2024-03-08,4,1,0,0,474.8,754.0,20204368.0
2024-03-09,5,0,1,0,,,
2024-03-10,6,0,1,0,,,
2024-03-11,0,1,0,0,,,
2024-03-12,1,1,0,0,,,
2024-03-13,2,1,0,0,,,
2024-03-14,3,1,0,0,,,
2024-03-15,4,1,0,0,,,
2024-03-16,5,0,1,0,,,
2024-03-17,6,0,1,0,,,
2024-03-18,0,1,0,0,,,
2024-03-19,1,1,0,0,,,
2024-03-20,2,1,0,0,,,
2024-03-21,3,1,0,0,,,
2024-03-22,4,1,0,0,,,
2024-03-23,5,0,1,0,,,
2024-03-24,6,0,1,0,,,
2024-03-25,0,0,0,1,,,
2024-03-26,1,1,0,0,,,
2024-03-27,2,1,0,0,,,
2024-03-28,3,0,0,1,,,
2024-03-29,4,0,0,1,,,
2024-03-30,5,0,1,0,,,
2024-03-31,6,0,1,0,,,
2024-04-01,0,1,0,0,,,
2024-04-02,1,1,0,0,,,
2024-04-03,2,1,0,0,,,
2024-04-04,3,1,0,0,,,
2024-04-05,4,1,0,0,,,
2024-04-06,5,0,1,0,,,
2024-04-07,6,0,1,0,,,
2024-04-08,0,1,0,0,,,
2024-04-09,1,1,0,0,,,
2024-04-10,2,1,0,0,,,
2024-04-11,3,1,0,0,,,
2024-04-12,4,1,0,0,,,
2024-04-13,5,0,1,0,,,
2024-04-14,6,0,1,0,,,
2024-04-15,0,1,0,0,,,
2024-04-16,1,1,0,0,,,
2024-04-17,2,1,0,0,,,
2024-04-18,3,1,0,0,,,
2024-04-19,4,1,0,0,,,
2024-04-20,5,0,1,0,,,
2024-04-21,6,0,1,0,,,
2024-04-22,0,1,0,0,,,
2024-04-23,1,1,0,0,,,
2024-04-24,2,1,0,0,,,
2024-04-25,3,1,0,0,,,
2024-04-26,4,1,0,0,,,
2024-04-27,5,0,1,0,,,
2024-04-28,6,0,1,0,,,
2024-04-29,0,1,0,0,,,
2024-04-30,1,1,0,0,,,
2024-05-01,2,0,0,1,,,
2024-05-02,3,1,0,0,,,
2024-05-03,4,1,0,0,,,
2024-05-04,5,0,1,0,,,
2024-05-05,6,0,1,0,,,
2024-05-06,0,1,0,0,,,
2024-05-07,1,1,0,0,,,
2024-05-08,2,1,0,0,,,
2024-05-09,3,1,0,0,,,
2024-05-10,4,1,0,0,,,
2024-05-11,5,0,1,0,,,
2024-05-12,6,0,1,0,,,
2024-05-13,0,0,0,1,,,
2024-05-14,1,1,0,0,,,
2024-05-15,2,1,0,0,,,
2024-05-16,3,1,0,0,,,
2024-05-17,4,1,0,0,,,
2024-05-18,5,0,1,0,,,
2024-05-19,6,0,1,0,,,
2024-05-20,0,1,0,0,,,
2024-05-21,1,1,0,0,,,
2024-05-22,2,1,0,0,,,
2024-05-23,3,1,0,0,,,
2024-05-24,4,1,0,0,,,
2024-05-25,5,0,1,0,,,
2024-05-26,6,0,1,0,,,
2024-05-27,0,1,0,0,,,
2024-05-28,1,1,0,0,,,
2024-05-29,2,1,0,0,,,
2024-05-30,3,1,0,0,,,
2024-05-31,4,1,0,0,,,
2024-06-01,5,0,1,0,,,
2024-06-02,6,0,1,0,,,
2024-06-03,0,0,0,1,,,
2024-06-04,1,1,0,0,,,
2024-06-05,2,1,0,0,,,
2024-06-06,3,1,0,0,,,
2024-06-07,4,1,0,0,,,
2024-06-08,5,0,1,0,,,
2024-06-09,6,0,1,0,,,
2024-06-10,0,0,0,1,,,
2024-06-11,1,1,0,0,,,
2024-06-12,2,1,0,0,,,
2024-06-13,3,1,0,0,,,
2024-06-14,4,1,0,0,,,
2024-06-15,5,0,1,0,,,
2024-06-16,6,0,1,0,,,
2024-06-17,0,1,0,0,,,
2024-06-18,1,1,0,0,,,
2024-06-19,2,1,0,0,,,
2024-06-20,3,1,0,0,,,
2024-06-21,4,1,0,0,,,
2024-06-22,5,0,1,0,,,
2024-06-23,6,0,1,0,,,
2024-06-24,0,1,0,0,,,
2024-06-25,1,1,0,0,,,
2024-06-26,2,1,0,0,,,
2024-06-27,3,1,0,0,,,
2024-06-28,4,1,0,0,,,
2024-06-29,5,0,1,0,,,
2024-06-30,6,0,1,0,,,
2024-07-01,0,0,0,1,,,
2024-07-02,1,1,0,0,,,
2024-07-03,2,1,0,0,,,
2024-07-04,3,1,0,0,,,
2024-07-05,4,1,0,0,,,
2024-07-06,5,0,1,0,,,
2024-07-07,6,0,1,0,,,
2024-07-08,0,1,0,0,,,
2024-07-09,1,1,0,0,,,
2024-07-10,2,1,0,0,,,
2024-07-11,3,1,0,0,,,
2024-07-12,4,1,0,0,,,
2024-07-13,5,0,1,0,,,
2024-07-14,6,0,1,0,,,
2024-07-15,0,1,0,0,,,
2024-07-16,1,1,0,0,,,
2024-07-17,2,1,0,0,,,
2024-07-18,3,1,0,0,,,
2024-07-19,4,1,0,0,,,
2024-07-20,5,0,0,1,,,
2024-07-21,6,0,1,0,,,
2024-07-22,0,1,0,0,,,
2024-07-23,1,1,0,0,,,
2024-07-24,2,1,0,0,,,
2024-07-25,3,1,0,0,,,
2024-07-26,4,1,0,0,,,
2024-07-27,5,0,1,0,,,
2024-07-28,6,0,1,0,,,
2024-07-29,0,1,0,0,,,
2024-07-30,1,1,0,0,,,
2024-07-31,2,1,0,0,,,
2024-08-01,3,1,0,0,,,
2024-08-02,4,1,0,0,,,
2024-08-03,5,0,1,0,,,
2024-08-04,6,0,1,0,,,
2024-08-05,0,1,0,0,,,
2024-08-06,1,1,0,0,,,
2024-08-07,2,0,0,1,,,
2024-08-08,3,1,0,0,,,
2024-08-09,4,1,0,0,,,
2024-08-10,5,0,1,0,,,
2024-08-11,6,0,1,0,,,
2024-08-12,0,1,0,0,,,
2024-08-13,1,1,0,0,,,
2024-08-14,2,1,0,0,,,
2024-08-15,3,1,0,0,,,
2024-08-16,4,1,0,0,,,
2024-08-17,5,0,1,0,,,
2024-08-18,6,0,1,0,,,
2024-08-19,0,0,0,1,,,
2024-08-20,1,1,0,0,,,
2024-08-21,2,1,0,0,,,
2024-08-22,3,1,0,0,,,
2024-08-23,4,1,0,0,,,
2024-08-24,5,0,1,0,,,
2024-08-25,6,0,1,0,,,
2024-08-26,0,1,0,0,,,
2024-08-27,1,1,0,0,,,
2024-08-28,2,1,0,0,,,
2024-08-29,3,1,0,0,,,
2024-08-30,4,1,0,0,,,
2024-08-31,5,0,1,0,,,
2024-09-01,6,0,1,0,,,
2024-09-02,0,1,0,0,,,
