FECHA.CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE.USO,NUMERO.CONEXIONES,USAGE.KB
2024-01-01,0,0,0,1,0.2,22.0,2037.0
2024-01-02,1,1,0,0,0.3,26.0,2662.0
2024-01-03,2,1,0,0,0.1,21.0,1765.0
2024-01-04,3,1,0,0,0.7,23.0,7799.0
2024-01-05,4,1,0,0,1.0,22.0,10680.0
2024-01-06,5,0,1,0,0.0,13.0,366.0
2024-01-07,6,0,1,0,15.0,19.0,150496.0
2024-01-08,0,0,0,1,190.3,23.0,3000305.0
2024-01-09,1,1,0,0,151.9,23.0,1968775.0
2024-01-10,2,1,0,0,323.6,23.0,3903613.0
2024-01-11,3,1,0,0,602.6,26.0,6483485.0
2024-01-12,4,1,0,0,91.8,35.0,1066063.0
2024-01-13,5,0,1,0,198.5,26.0,1786891.0
2024-01-14,6,0,1,0,3.8,34.0,29985.0
2024-01-15,0,1,0,0,0.4,28.0,2957.0
2024-01-16,1,1,0,0,1.7,38.0,14124.0
2024-01-17,2,1,0,0,1.2,36.0,11769.0
2024-01-18,3,1,0,0,32.4,36.0,388692.0
2024-01-19,4,1,0,0,138.9,27.0,2131687.0
2024-01-20,5,0,1,0,165.9,28.0,2147761.0
2024-01-21,6,0,1,0,463.9,40.0,6006829.0
2024-01-22,0,1,0,0,378.5,33.0,3968504.0
2024-01-23,1,1,0,0,255.2,32.0,2755624.0
2024-01-24,2,1,0,0,330.3,30.0,4131553.0
2024-01-25,3,1,0,0,106.9,43.0,1597374.0
2024-01-26,4,1,0,0,0.3,30.0,4137.0
2024-01-27,5,0,1,0,0.8,46.0,9574.0
2024-01-28,6,0,1,0,1.6,41.0,16717.0
2024-01-29,0,1,0,0,0.5,28.0,5287.0
2024-01-30,1,1,0,0,1.2,41.0,10792.0
2024-01-31,2,1,0,0,0.4,29.0,4160.0
2024-02-01,3,1,0,0,1.0,33.0,14092.0
2024-02-02,4,1,0,0,115.1,18.0,1099653.0
2024-02-03,5,0,1,0,75.1,30.0,1331711.0
2024-02-04,6,0,1,0,22.3,25.0,356203.0
2024-02-05,0,1,0,0,9.9,17.0,148529.0
2024-02-06,1,1,0,0,92.7,27.0,1385175.0
2024-02-07,2,1,0,0,14.0,21.0,230433.0
2024-02-08,3,1,0,0,133.4,41.0,1812959.0
2024-02-09,4,1,0,0,243.1,43.0,2925617.0
2024-02-10,5,0,1,0,432.9,33.0,6914271.0
2024-02-11,6,0,1,0,453.7,42.0,6096118.0
2024-02-12,0,1,0,0,210.1,27.0,2175515.0
2024-02-13,1,1,0,0,393.8,43.0,3410936.0
2024-02-14,2,1,0,0,169.5,22.0,1280289.0
2024-02-15,3,1,0,0,59.9,37.0,699096.0
2024-02-16,4,1,0,0,137.4,35.0,1448382.0
2024-02-17,5,0,1,0,53.7,35.0,568044.0
2024-02-18,6,0,1,0,0.5,40.0,6238.0
2024-02-19,0,1,0,0,0.2,22.0,2433.0
2024-02-20,1,1,0,0,0.4,37.0,4707.0
2024-02-21,2,1,0,0,1.0,43.0,11695.0
2024-02-22,3,1,0,0,0.4,41.0,6428.0
2024-02-23,4,1,0,0,0.3,49.0,4887.0
2024-02-24,5,0,1,0,0.7,30.0,8938.0
2024-02-25,6,0,1,0,0.4,41.0,6455.0
2024-02-26,0,1,0,0,0.8,32.0,9366.0
2024-02-27,1,1,0,0,339.9,42.0,3949631.0
2024-02-28,2,1,0,0,78.0,33.0,1338257.0
2024-02-29,3,1,0,0,265.5,38.0,2102310.0
2024-03-01,4,1,0,0,15.2,46.0,182845.0
2024-03-02,5,0,1,0,59.8,30.0,615887.0
2024-03-03,6,0,1,0,63.4,34.0,883118.0
2024-03-04,0,1,0,0,143.7,28.0,2043116.0
2024-03-05,1,1,0,0,84.1,50.0,1158713.0
2024-03-06,2,1,0,0,43.6,20.0,527448.0
2024-03-07,3,1,0,0,267.2,37.0,2854812.0
2024-03-08,4,1,0,0,294.2,35.0,3146840.0
2024-03-09,5,0,1,0,111.3,34.0,1100467.0
2024-03-10,6,0,1,0,1.9,55.0,18558.0
2024-03-11,0,1,0,0,3.0,29.0,27951.0
2024-03-12,1,1,0,0,8.8,47.0,78011.0
2024-03-13,2,1,0,0,0.8,26.0,5933.0
2024-03-14,3,1,0,0,1.0,43.0,9345.0
2024-03-15,4,1,0,0,0.4,42.0,5188.0
2024-03-16,5,0,1,0,0.4,41.0,5014.0
2024-03-17,6,0,1,0,0.6,35.0,8168.0
2024-03-18,0,1,0,0,0.2,29.0,2481.0
2024-03-19,1,1,0,0,1.0,32.0,7326.0
2024-03-20,2,1,0,0,0.9,22.0,6007.0
2024-03-21,3,1,0,0,353.1,29.0,3082924.0
2024-03-22,4,1,0,0,210.3,44.0,2051099.0
2024-03-23,5,0,1,0,14.0,25.0,109006.0
2024-03-24,6,0,1,0,3.4,47.0,30928.0
2024-03-25,0,0,0,1,2.7,30.0,18739.0
2024-03-26,1,1,0,0,1.8,36.0,14079.0
2024-03-27,2,1,0,0,0.2,18.0,1684.0
2024-03-28,3,0,0,1,0.3,21.0,1636.0
2024-03-29,4,0,0,1,0.2,16.0,1566.0
2024-03-30,5,0,1,0,1.8,23.0,11053.0
2024-03-31,6,0,1,0,4.6,19.0,35199.0
2024-04-01,0,1,0,0,110.2,23.0,1155641.0
