FECHA.CONEXION,DIA_SEMANA,LABORAL,FIN_DE_SEMANA,FESTIVO,PORCENTAJE.USO,NUMERO.CONEXIONES,USAGE.KB
2024-01-01,0,0,0,1,1.9,74.0,16740.0
2024-01-02,1,1,0,0,2.2,68.0,18455.0
2024-01-03,2,1,0,0,0.8,58.0,9419.0
2024-01-04,3,1,0,0,1.7,67.0,17872.0
2024-01-05,4,1,0,0,1.7,87.0,18111.0
2024-01-06,5,0,1,0,18.3,75.0,140163.0
2024-01-07,6,0,1,0,0.8,77.0,8113.0
2024-01-08,0,0,0,1,3.8,58.0,60353.0
2024-01-09,1,1,0,0,1.4,67.0,17739.0
2024-01-10,2,1,0,0,0.6,70.0,7090.0
2024-01-11,3,1,0,0,0.8,57.0,8824.0
2024-01-12,4,1,0,0,2.4,72.0,27606.0
2024-01-13,5,0,1,0,10.4,112.0,93583.0
2024-01-14,6,0,1,0,201.9,97.0,1597821.0
2024-01-15,0,1,0,0,287.0,64.0,1985401.0
2024-01-16,1,1,0,0,399.9,68.0,3420729.0
2024-01-17,2,1,0,0,478.0,77.0,4780596.0
2024-01-18,3,1,0,0,219.5,73.0,2632800.0
2024-01-19,4,1,0,0,52.8,93.0,810348.0
2024-01-20,5,0,1,0,2.3,116.0,29648.0
2024-01-21,6,0,1,0,1.4,80.0,17821.0
2024-01-22,0,1,0,0,0.5,66.0,4846.0
2024-01-23,1,1,0,0,0.5,55.0,5425.0
2024-01-24,2,1,0,0,0.5,67.0,6818.0
2024-01-25,3,1,0,0,0.0,4.0,67.0
2024-01-26,4,1,0,0,,,
2024-01-27,5,0,1,0,,,
2024-01-28,6,0,1,0,,,
2024-01-29,0,1,0,0,,,
2024-01-30,1,1,0,0,,,
2024-01-31,2,1,0,0,227.2,54.0,2373447.0
2024-02-01,3,1,0,0,388.0,84.0,5396571.0
2024-02-02,4,1,0,0,253.9,59.0,2425189.0
2024-02-03,5,0,1,0,233.2,90.0,4137767.0
2024-02-04,6,0,1,0,194.6,90.0,3111784.0
2024-02-05,0,1,0,0,147.9,67.0,2226503.0
2024-02-06,1,1,0,0,61.6,69.0,920756.0
2024-02-07,2,1,0,0,59.0,82.0,973716.0
2024-02-08,3,1,0,0,0.5,67.0,7047.0
2024-02-09,4,1,0,0,16.8,77.0,201693.0
2024-02-10,5,0,1,0,1.1,91.0,16887.0
2024-02-11,6,0,1,0,4.9,103.0,66416.0
2024-02-12,0,1,0,0,0.8,87.0,7873.0
2024-02-13,1,1,0,0,1.6,76.0,13451.0
2024-02-14,2,1,0,0,12.0,73.0,91003.0
2024-02-15,3,1,0,0,1.0,67.0,12234.0
2024-02-16,4,1,0,0,1.2,91.0,13140.0
2024-02-17,5,0,1,0,2.8,92.0,29540.0
2024-02-18,6,0,1,0,2.1,98.0,27621.0
2024-02-19,0,1,0,0,0.4,72.0,5131.0
2024-02-20,1,1,0,0,0.3,58.0,3236.0
2024-02-21,2,1,0,0,0.5,69.0,5756.0
2024-02-22,3,1,0,0,16.9,84.0,258738.0
2024-02-23,4,1,0,0,47.3,89.0,673489.0
2024-02-24,5,0,1,0,126.4,87.0,1587806.0
2024-02-25,6,0,1,0,350.7,93.0,6159452.0
2024-02-26,0,1,0,0,25.2,76.0,280956.0
2024-02-27,1,1,0,0,0.7,60.0,7826.0
2024-02-28,2,1,0,0,13.6,81.0,233049.0
2024-02-29,3,1,0,0,87.8,60.0,695101.0
2024-03-01,4,1,0,0,32.1,84.0,385677.0
2024-03-02,5,0,1,0,101.0,84.0,1039174.0
2024-03-03,6,0,1,0,274.7,99.0,3829562.0
2024-03-04,0,1,0,0,18.4,91.0,261551.0
2024-03-05,1,1,0,0,28.5,72.0,393022.0
2024-03-06,2,1,0,0,0.5,78.0,6102.0
2024-03-07,3,1,0,0,2.5,90.0,26719.0
2024-03-08,4,1,0,0,8.0,95.0,85638.0
2024-03-09,5,0,1,0,1.3,108.0,12809.0
2024-03-10,6,0,1,0,3.6,95.0,34442.0
2024-03-11,0,1,0,0,0.3,77.0,2643.0
2024-03-12,1,1,0,0,0.7,75.0,5781.0
2024-03-13,2,1,0,0,2.2,73.0,16514.0
2024-03-14,3,1,0,0,5.6,76.0,54057.0
2024-03-15,4,1,0,0,0.7,90.0,9752.0
2024-03-16,5,0,1,0,29.2,109.0,329993.0
2024-03-17,6,0,1,0,679.1,106.0,8794308.0
2024-03-18,0,1,0,0,430.7,75.0,5170833.0
2024-03-19,1,1,0,0,150.8,60.0,1136415.0
2024-03-20,2,1,0,0,1.1,58.0,7369.0
2024-03-21,3,1,0,0,1.5,80.0,13017.0
2024-03-22,4,1,0,0,0.6,85.0,5540.0
2024-03-23,5,0,1,0,0.4,21.0,3167.0
2024-03-24,6,0,1,0,,,
2024-03-25,0,0,0,1,553.0,56.0,3880511.0
2024-03-26,1,1,0,0,775.5,64.0,6038777.0
2024-03-27,2,1,0,0,259.2,59.0,2093803.0
2024-03-28,3,0,0,1,829.4,83.0,5292324.0
2024-03-29,4,0,0,1,186.7,73.0,1850858.0
2024-03-30,5,0,1,0,1.7,83.0,10507.0
2024-03-31,6,0,1,0,1.1,65.0,8153.0
2024-04-01,0,1,0,0,0.4,63.0,4242.0
2024-04-02,1,1,0,0,1.8,36.0,12590.0
2024-04-03,2,1,0,0,0.3,71.0,2907.0
2024-04-04,3,1,0,0,0.4,63.0,4713.0
2024-04-05,4,1,0,0,1.0,110.0,11472.0
2024-04-06,5,0,1,0,2.5,112.0,30528.0
2024-04-07,6,0,1,0,1.3,90.0,15371.0
2024-04-08,0,1,0,0,0.9,81.0,6428.0
2024-04-09,1,1,0,0,0.3,60.0,2641.0
2024-04-10,2,1,0,0,41.9,81.0,178062.0
2024-04-11,3,1,0,0,1.6,68.0,7251.0
2024-04-12,4,1,0,0,4.4,104.0,29986.0
2024-04-13,5,0,1,0,2.2,93.0,19066.0
2024-04-14,6,0,1,0,3.5,95.0,24186.0
2024-04-15,0,1,0,0,2.7,78.0,10611.0
2024-04-16,1,1,0,0,1.3,71.0,5407.0
2024-04-17,2,1,0,0,1.3,67.0,4955.0
2024-04-18,3,1,0,0,1.9,54.0,5588.0
2024-04-19,4,1,0,0,24.3,58.0,98498.0
2024-04-20,5,0,1,0,1.9,122.0,14792.0
2024-04-21,6,0,1,0,17.5,83.0,108030.0
2024-04-22,0,1,0,0,0.7,61.0,3403.0
2024-04-23,1,1,0,0,30.0,71.0,549915.0
2024-04-24,2,1,0,0,62.3,57.0,1144988.0
2024-04-25,3,1,0,0,33.6,70.0,398281.0
2024-04-26,4,1,0,0,12.2,58.0,122286.0
2024-04-27,5,0,1,0,36.7,94.0,447421.0
2024-04-28,6,0,1,0,1.2,43.0,8953.0
2024-04-29,0,1,0,0,0.8,86.0,6118.0
2024-04-30,1,1,0,0,1.0,77.0,6120.0
2024-05-01,2,0,0,1,4.3,73.0,22795.0
2024-05-02,3,1,0,0,0.7,64.0,3791.0
2024-05-03,4,1,0,0,1.2,51.0,5273.0
2024-05-04,5,0,1,0,2.7,103.0,19211.0
2024-05-05,6,0,1,0,26.2,78.0,161608.0
2024-05-06,0,1,0,0,1.7,59.0,8016.0
2024-05-07,1,1,0,0,1.4,63.0,8231.0
2024-05-08,2,1,0,0,0.4,63.0,2870.0
2024-05-09,3,1,0,0,0.6,61.0,5323.0
2024-05-10,4,1,0,0,1.5,60.0,12123.0
2024-05-11,5,0,1,0,2.4,91.0,17957.0
2024-05-12,6,0,1,0,4.2,88.0,17205.0
2024-05-13,0,0,0,1,99.5,90.0,556709.0
2024-05-14,1,1,0,0,148.0,68.0,320953.0
2024-05-15,2,1,0,0,152.1,62.0,939928.0
2024-05-16,3,1,0,0,164.3,66.0,1340800.0
2024-05-17,4,1,0,0,44.7,63.0,465181.0
2024-05-18,5,0,1,0,2.1,96.0,23496.0
2024-05-19,6,0,1,0,2.5,80.0,29709.0
2024-05-20,0,1,0,0,1.4,57.0,9792.0
2024-05-21,1,1,0,0,1.0,64.0,7634.0
2024-05-22,2,1,0,0,6.6,65.0,17038.0
2024-05-23,3,1,0,0,3.8,53.0,19936.0
2024-05-24,4,1,0,0,3.3,82.0,15425.0
2024-05-25,5,0,1,0,1.8,104.0,12612.0
2024-05-26,6,0,1,0,0.2,31.0,1412.0
2024-05-27,0,1,0,0,211.8,59.0,1800541.0
2024-05-28,1,1,0,0,107.9,63.0,803248.0
2024-05-29,2,1,0,0,77.2,32.0,386388.0
2024-05-30,3,1,0,0,8.3,57.0,99669.0
2024-05-31,4,1,0,0,0.5,4.0,4818.0
2024-06-01,5,0,1,0,,,
2024-06-02,6,0,1,0,233.2,95.0,2285309.0
2024-06-03,0,0,0,1,212.1,70.0,1469102.0
2024-06-04,1,1,0,0,114.5,58.0,520584.0
2024-06-05,2,1,0,0,1.7,53.0,4806.0
2024-06-06,3,1,0,0,1.1,70.0,6435.0
2024-06-07,4,1,0,0,2.2,84.0,10564.0
2024-06-08,5,0,1,0,10.4,84.0,32780.0
2024-06-09,6,0,1,0,7.0,71.0,20489.0
2024-06-10,0,0,0,1,1.8,83.0,10048.0
2024-06-11,1,1,0,0,1.1,93.0,7152.0
2024-06-12,2,1,0,0,5.7,65.0,42217.0
2024-06-13,3,1,0,0,13571800.0,68.0,6971.0
2024-06-14,4,1,0,0,164857300.0,62.0,5485.0
2024-06-15,5,0,1,0,206887100.0,82.0,11532.0
2024-06-16,6,0,1,0,121954900.0,86.0,6801.0
2024-06-17,0,1,0,0,6.6,61.0,41109.0
2024-06-18,1,1,0,0,0.4,50.0,2366.0
2024-06-19,2,1,0,0,0.5,54.0,3616.0
2024-06-20,3,1,0,0,1.4,96.0,6989.0
2024-06-21,4,1,0,0,1.4,125.0,8130.0
2024-06-22,5,0,1,0,1.5,126.0,8164.0
2024-06-23,6,0,1,0,5.7,87.0,14648.0
2024-06-24,0,1,0,0,0.6,89.0,3290.0
2024-06-25,1,1,0,0,1.3,118.0,5156.0
2024-06-26,2,1,0,0,1.0,95.0,3984.0
2024-06-27,3,1,0,0,1.0,92.0,3398.0
2024-06-28,4,1,0,0,54.1,115.0,314210.0
2024-06-29,5,0,1,0,2.2,109.0,13011.0
2024-06-30,6,0,1,0,4.6,81.0,21471.0
2024-07-01,0,0,0,1,3.06,110.0,22039.0
2024-07-02,1,1,0,0,1.66,91.0,15444.0
2024-07-03,2,1,0,0,0.76,98.0,6349.0
2024-07-04,3,1,0,0,0.73,88.0,5781.0
2024-07-05,4,1,0,0,0.41,68.0,3510.0
2024-07-06,5,0,1,0,3.73,124.0,31410.0
2024-07-07,6,0,1,0,5.39,115.0,47577.0
2024-07-08,0,1,0,0,0.65,97.0,3591.0
2024-07-09,1,1,0,0,0.67,94.0,3917.0
2024-07-10,2,1,0,0,1.73,109.0,11953.0
2024-07-11,3,1,0,0,1.92,71.0,14192.0
2024-07-12,4,1,0,0,2.4,131.0,15247.0
2024-07-13,5,0,1,0,5.61,149.0,39528.0
2024-07-14,6,0,1,0,1.9,90.0,12066.0
2024-07-15,0,1,0,0,15.66,100.0,87528.0
2024-07-16,1,1,0,0,312.31,80.0,1961893.0
2024-07-17,2,1,0,0,324.1,83.0,1466643.0
2024-07-18,3,1,0,0,493.25,120.0,2938987.0
2024-07-19,4,1,0,0,470.35,130.0,3375577.0
2024-07-20,5,0,0,1,3.71,142.0,28886.0
2024-07-21,6,0,1,0,6.69,141.0,43762.0
2024-07-22,0,1,0,0,1.56,106.0,10850.0
2024-07-23,1,1,0,0,2.12,103.0,14660.0
2024-07-24,2,1,0,0,1.0,77.0,6312.0
2024-07-25,3,1,0,0,1.53,100.0,9697.0
2024-07-26,4,1,0,0,352.69,108.0,2677794.0
2024-07-27,5,0,1,0,363.53,134.0,2125589.0
2024-07-28,6,0,1,0,92.52,117.0,437240.0
2024-07-29,0,1,0,0,29.21,131.0,182179.0
2024-07-30,1,1,0,0,1.07,125.0,7338.0
2024-07-31,2,1,0,0,1.74,126.0,10448.0
2024-08-01,3,1,0,0,2.41,104.0,16126.0
2024-08-02,4,1,0,0,2.54,134.0,15261.0
2024-08-03,5,0,1,0,6.41,168.0,31441.0
2024-08-04,6,0,1,0,8.81,132.0,55257.0
2024-08-05,0,1,0,0,1.27,126.0,8820.0
2024-08-06,1,1,0,0,0.46,96.0,4752.0
2024-08-07,2,0,0,1,8.1,92.0,68136.0
2024-08-08,3,1,0,0,0.72,116.0,5775.0
2024-08-09,4,1,0,0,1.88,143.0,10205.0
2024-08-10,5,0,1,0,4.5,156.0,23779.0
2024-08-11,6,0,1,0,3.68,114.0,21210.0
2024-08-12,0,1,0,0,4.01,119.0,18691.0
2024-08-13,1,1,0,0,1.04,101.0,9219.0
2024-08-14,2,1,0,0,0.91,128.0,6854.0
2024-08-15,3,1,0,0,1.46,117.0,9698.0
2024-08-16,4,1,0,0,135.2,141.0,992269.0
2024-08-17,5,0,1,0,159.42,132.0,1099189.0
2024-08-18,6,0,1,0,23.09,93.0,152556.0
2024-08-19,0,0,0,1,2.86,78.0,20858.0
2024-08-20,1,1,0,0,2.25,117.0,9073.0
2024-08-21,2,1,0,0,2.76,118.0,9476.0
2024-08-22,3,1,0,0,4.1,117.0,15415.0
2024-08-23,4,1,0,0,4.5,116.0,11052.0
2024-08-24,5,0,1,0,222.61,129.0,328463.0
2024-08-25,6,0,1,0,56.58,86.0,59131.0
2024-08-26,0,1,0,0,11.55,104.0,8647.0
2024-08-27,1,1,0,0,7.61,96.0,7091.0
2024-08-28,2,1,0,0,12.69,99.0,7154.0
2024-08-29,3,1,0,0,24.71,110.0,8649.0
2024-08-30,4,1,0,0,24.56,130.0,10195.0
2024-08-31,5,0,1,0,16.48,109.0,11547.0
2024-09-01,6,0,1,0,21.25,114.0,9183.0
2024-09-02,0,1,0,0,44.98,120.0,22817.0
2024-09-03,1,1,0,0,17.0,98.0,3102.0
2024-09-04,2,1,0,0,398.55,50.0,2906.0
2024-09-05,3,1,0,0,,,
2024-09-06,4,1,0,0,,,
2024-09-07,5,0,1,0,,,
2024-09-08,6,0,1,0,,,
2024-09-09,0,1,0,0,,,
2024-09-10,1,1,0,0,,,
2024-09-11,2,1,0,0,,,
2024-09-12,3,1,0,0,,,
2024-09-13,4,1,0,0,,,
2024-09-14,5,0,1,0,,,
2024-09-15,6,0,1,0,,,
2024-09-16,0,1,0,0,,,
2024-09-17,1,1,0,0,,,
2024-09-18,2,1,0,0,,,
2024-09-19,3,1,0,0,,,
2024-09-20,4,1,0,0,,,
2024-09-21,5,0,1,0,,,
2024-09-22,6,0,1,0,,,
2024-09-23,0,1,0,0,,,
2024-09-24,1,1,0,0,,,
2024-09-25,2,1,0,0,,,
2024-09-26,3,1,0,0,,,
2024-09-27,4,1,0,0,,,
2024-09-28,5,0,1,0,,,
2024-09-29,6,0,1,0,,,
2024-09-30,0,1,0,0,,,
2024-10-01,1,1,0,0,,,
2024-10-02,2,1,0,0,,,
2024-10-03,3,1,0,0,,,
2024-10-04,4,1,0,0,,,
2024-10-05,5,0,1,0,,,
2024-10-06,6,0,1,0,,,
2024-10-07,0,1,0,0,,,
2024-10-08,1,1,0,0,,,
2024-10-09,2,1,0,0,,,
2024-10-10,3,1,0,0,,,
2024-10-11,4,1,0,0,,,
2024-10-12,5,0,1,0,,,
2024-10-13,6,0,1,0,,,
2024-10-14,0,0,0,1,,,
2024-10-15,1,1,0,0,,,
2024-10-16,2,1,0,0,,,
2024-10-17,3,1,0,0,,,
2024-10-18,4,1,0,0,,,
2024-10-19,5,0,1,0,,,
2024-10-20,6,0,1,0,,,
2024-10-21,0,1,0,0,,,
2024-10-22,1,1,0,0,,,
2024-10-23,2,1,0,0,,,
2024-10-24,3,1,0,0,,,
2024-10-25,4,1,0,0,277.45,73.0,1242045.0
2024-10-26,5,0,1,0,213.39,80.0,1647858.0
2024-10-27,6,0,1,0,308.49,75.0,3070902.0
2024-10-28,0,1,0,0,131.19,49.0,790013.0
2024-10-29,1,1,0,0,151.18,62.0,958414.0
2024-10-30,2,1,0,0,259.59,81.0,1271754.0
