FECHA.CONEXION,AREA,NOMBRE.ZONA,COMUNA,MODEL,es_festivo,tipo_dia,dia_semana,LATITUD,LONGITUD,NUMERO.CONEXIONES,USAGE.KB,PORCENTAJE.USO
2024-01-01,URBANA,037_ZW Parque Tequendama,19,MR76,True,Festivo,Lunes,342.517,-7.654.449,3,1493645,"170,9"
2024-01-02,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,33,4452625,"528,9"
2024-01-03,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,31,5635712,"465,1"
2024-01-04,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,44,6787853,"642,5"
2024-01-05,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,33,3011343,"277,8"
2024-01-06,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,23,4947251,"645,1"
2024-01-07,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,19,2280726,"227,2"
2024-01-08,URBANA,037_ZW Parque Tequendama,19,MR76,True,Festivo,Lunes,342.517,-7.654.449,19,2198101,"139,4"
2024-01-09,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,50,4900166,"378,1"
2024-01-10,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,52,4202617,"348,4"
2024-01-11,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,48,3756918,"349,2"
2024-01-12,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,41,5429747,"467,5"
2024-01-13,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,31,3033905,"337,0"
2024-01-14,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,11,740325,"93,5"
2024-01-15,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Lunes,342.517,-7.654.449,67,3207624,"463,7"
2024-01-16,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,62,3953247,"462,2"
2024-01-17,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,61,3473765,"347,3"
2024-01-18,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,61,4167144,"347,4"
2024-01-19,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,58,6152767,"400,8"
2024-01-20,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,36,1012500,"78,2"
2024-01-21,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,23,1431,"0,1"
2024-01-22,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Lunes,342.517,-7.654.449,68,161101,"15,4"
2024-01-23,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,62,436993,"40,5"
2024-01-24,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,64,1562153,"124,9"
2024-01-25,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,61,912556,"61,0"
2024-01-26,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Viernes,342.517,-7.654.449,52,1648812,"119,7"
2024-01-27,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Sábado,342.517,-7.654.449,43,2168241,"174,7"
2024-01-28,URBANA,037_ZW Parque Tequendama,19,MR76,False,Fin de Semana,Domingo,342.517,-7.654.449,19,610385,"59,4"
2024-01-29,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Lunes,342.517,-7.654.449,62,862562,"74,1"
2024-01-30,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Martes,342.517,-7.654.449,80,590889,"65,3"
2024-01-31,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Miércoles,342.517,-7.654.449,77,1515913,"145,1"
2024-02-01,URBANA,037_ZW Parque Tequendama,19,MR76,False,Laboral,Jueves,342.517,-7.654.449,68,716582,"51,5"
